,estimator,query_id,score
122,max_disagreement_sampling,22,0.5466666666666666
123,max_disagreement_sampling,23,0.3933333333333333
124,max_disagreement_sampling,24,0.3933333333333333
125,max_disagreement_sampling,25,0.5866666666666667
126,max_disagreement_sampling,26,0.4
127,max_disagreement_sampling,27,0.4866666666666667
128,max_disagreement_sampling,28,0.58
129,max_disagreement_sampling,29,0.6333333333333333
130,max_disagreement_sampling,30,0.5733333333333334
131,max_disagreement_sampling,31,0.5866666666666667
132,max_disagreement_sampling,32,0.68
133,max_disagreement_sampling,33,0.6666666666666666
134,max_disagreement_sampling,34,0.6666666666666666
135,max_disagreement_sampling,35,0.6466666666666666
136,max_disagreement_sampling,36,0.7066666666666667
137,max_disagreement_sampling,37,0.68
138,max_disagreement_sampling,38,0.68
139,max_disagreement_sampling,39,0.64
140,max_disagreement_sampling,40,0.6733333333333333
141,max_disagreement_sampling,41,0.6466666666666666
142,max_disagreement_sampling,42,0.68
143,max_disagreement_sampling,43,0.66
144,max_disagreement_sampling,44,0.6733333333333333
145,max_disagreement_sampling,45,0.6666666666666666
146,max_disagreement_sampling,46,0.5533333333333333
147,max_disagreement_sampling,47,0.6266666666666667
148,max_disagreement_sampling,48,0.6133333333333333
149,max_disagreement_sampling,49,0.6133333333333333
150,random_sampling,0,0.5733333333333334
151,random_sampling,1,0.5466666666666666
152,random_sampling,2,0.5266666666666666
153,random_sampling,3,0.4066666666666667
154,random_sampling,4,0.4066666666666667
155,random_sampling,5,0.44666666666666666
156,random_sampling,6,0.38666666666666666
157,random_sampling,7,0.5866666666666667
158,random_sampling,8,0.5333333333333333
159,random_sampling,9,0.48
160,random_sampling,10,0.52
161,random_sampling,11,0.49333333333333335
162,random_sampling,12,0.56
163,random_sampling,13,0.64
164,random_sampling,14,0.6266666666666667
165,random_sampling,15,0.6266666666666667
166,random_sampling,16,0.5733333333333334
167,random_sampling,17,0.54
168,random_sampling,18,0.47333333333333333
169,random_sampling,19,0.48
170,random_sampling,20,0.5666666666666667
171,random_sampling,21,0.6533333333333333
172,random_sampling,22,0.52
173,random_sampling,23,0.5
174,random_sampling,24,0.34
175,random_sampling,25,0.4066666666666667
176,random_sampling,26,0.5666666666666667
177,random_sampling,27,0.4
178,random_sampling,28,0.4866666666666667
179,random_sampling,29,0.58
180,random_sampling,30,0.5133333333333333
181,random_sampling,31,0.5666666666666667
182,random_sampling,32,0.6733333333333333
183,random_sampling,33,0.5866666666666667
184,random_sampling,34,0.6
185,random_sampling,35,0.6866666666666666
186,random_sampling,36,0.6733333333333333
187,random_sampling,37,0.6533333333333333
188,random_sampling,38,0.6
189,random_sampling,39,0.6733333333333333
190,random_sampling,40,0.7066666666666667
191,random_sampling,41,0.7
192,random_sampling,42,0.7266666666666667
193,random_sampling,43,0.5866666666666667
194,random_sampling,44,0.66
195,random_sampling,45,0.7333333333333333
196,random_sampling,46,0.7066666666666667
197,random_sampling,47,0.7266666666666667
198,random_sampling,48,0.7333333333333333
199,random_sampling,49,0.7133333333333334
